,,,,,,,,,,,
编码,品名,材料牌号,材料标准,规格标准,RCC-M,质保等级,公称直径,单位,单重,单重单位,备注
SBN00361,1型六角螺母,8级,CP05T3040,GB/T 6170-2015,S1,QA3,M30,个,,Kg,
SBN00362,1型六角螺母,8级,CP05T3040,GB/T 6170-2015,S1,QA3,M33,个,,Kg,
SBN00363,1型六角螺母,8级,CP05T3040,GB/T 6170-2015,S1,QA3,M36,个,,Kg,
SBN00364,1型六角螺母,8级,CP05T3040,GB/T 6170-2015,S1,QA3,M42,个,,Kg,
SBN00365,1型六角螺母,8级,CP05T3040,GB/T 6170-2015,S1,QA3,M52,个,,Kg,
SBN00366,1型六角螺母,8级,CP05T3040,GB/T 6170-2015,S1,QA3,M60,个,,Kg,
SBN00367,1型六角螺母,8级,CP05T3040,GB/T 6170-2015,S1,QA3,M64,个,,Kg,
SBN00368,1型六角螺母(左螺纹),8级,CP05T3040,GB/T 6170-2015,S1,QA3,M10,个,,Kg,
SBN00369,1型六角螺母(左螺纹),8级,CP05T3040,GB/T 6170-2015,S1,QA3,M12,个,,Kg,
SBN00370,1型六角螺母(左螺纹),8级,CP05T3040,GB/T 6170-2015,S1,QA3,M16,个,,Kg,
SBN00371,1型六角螺母(左螺纹),8级,CP05T3040,GB/T 6170-2015,S1,QA3,M24,个,,Kg,
SBN00372,1型六角螺母(左螺纹),8级,CP05T3040,GB/T 6170-2015,S1,QA3,M42,个,,Kg,
SBN00373,1型六角螺母(左螺纹),8级,CP05T3040,GB/T 6170-2015,S1,QA3,M52,个,,Kg,
SBN00374,2型六角螺母,8级,CP05T3040,GB/T 6175-2000,S1,QA3,M8,个,,Kg,
SBN00375,2型六角螺母,8级,CP05T3040,GB/T 6175-2000,S1,QA3,M10,个,,Kg,
SBN00376,2型六角螺母,8级,CP05T3040,GB/T 6175-2000,S1,QA3,M12,个,,Kg,
SBN00377,2型六角螺母,8级,CP05T3040,GB/T 6175-2000,S1,QA3,M14,个,,Kg,
SBN00378,2型六角螺母,8级,CP05T3040,GB/T 6175-2000,S1,QA3,M24,个,,Kg,
SBN00379,2型六角螺母,8级,CP05T3040,GB/T 6175-2000,S1,QA3,M27,个,,Kg,
SBN00380,六角薄螺母,05,CP05T3040,GB/T 6172.1-2016,S1,QA3,M5,个,,Kg,
SBN00381,六角薄螺母,A2-035,CP05T3040,GB/T 6172.1-2016,S1,QA3,M5,个,,Kg,
SBN00382,六角薄螺母,05,CP05T3040,GB/T 6172.1-2016,S1,QA3,M6,个,,Kg,
SBN00383,六角薄螺母,A2-035,CP05T3040,GB/T 6172.1-2016,S1,QA3,M6,个,,Kg,
SBN00384,六角薄螺母,05,CP05T3040,GB/T 6172.1-2016,S1,QA3,M8,个,,Kg,
SBN00385,六角薄螺母,A2-035,CP05T3040,GB/T 6172.1-2016,S1,QA3,M8,个,,Kg,
SBN00386,六角薄螺母,05,CP05T3040,GB/T 6172.1-2016,S1,QA3,M10,个,,Kg,
SBN00387,六角薄螺母,A2-035,CP05T3040,GB/T 6172.1-2016,S1,QA3,M10,个,,Kg,
SBN00388,六角薄螺母,05,CP05T3040,GB/T 6172.1-2016,S1,QA3,M12,个,,Kg,
SBN00389,六角薄螺母,A2-035,CP05T3040,GB/T 6172.1-2016,S1,QA3,M12,个,,Kg,
SBN00390,六角薄螺母,05,CP05T3040,GB/T 6172.1-2016,S1,QA3,M14,个,,Kg,
SBN00391,六角薄螺母,A2-035,CP05T3040,GB/T 6172.1-2016,S1,QA3,M14,个,,Kg,
SBN00392,六角薄螺母,05,CP05T3040,GB/T 6172.1-2016,S1,QA3,M16,个,,Kg,
SBN00393,六角薄螺母,A2-035,CP05T3040,GB/T 6172.1-2016,S1,QA3,M16,个,,Kg,
SBN00394,六角薄螺母,05,CP05T3040,GB/T 6172.1-2016,S1,QA3,M18,个,,Kg,
SBN00395,六角薄螺母,A2-035,CP05T3040,GB/T 6172.1-2016,S1,QA3,M18,个,,Kg,
SBN00396,六角薄螺母,05,CP05T3040,GB/T 6172.1-2016,S1,QA3,M20,个,,Kg,
SBN00397,六角薄螺母,A2-035,CP05T3040,GB/T 6172.1-2016,S1,QA3,M20,个,,Kg,
SBN00398,六角薄螺母,05,CP05T3040,GB/T 6172.1-2016,S1,QA3,M22,个,,Kg,
SBN00399,六角薄螺母,A2-035,CP05T3040,GB/T 6172.1-2016,S1,QA3,M22,个,,Kg,
SBN00400,六角薄螺母,05,CP05T3040,GB/T 6172.1-2016,S1,QA3,M24,个,,Kg,
SBN00401,六角薄螺母,A2-035,CP05T3040,GB/T 6172.1-2016,S1,QA3,M24,个,,Kg,
SBN00402,六角薄螺母,05,CP05T3040,GB/T 6172.1-2016,S1,QA3,M27,个,,Kg,
SBN00403,六角薄螺母,A2-025,CP05T3040,GB/T 6172.1-2016,S1,QA3,M27,个,,Kg,
SBN00404,六角薄螺母,05,CP05T3040,GB/T 6172.1-2016,S1,QA3,M30,个,,Kg,
SBN00405,六角薄螺母,05,CP05T3040,GB/T 6172.1-2016,S1,QA3,M33,个,,Kg,
SBN00406,六角薄螺母,A2-025,CP05T3040,GB/T 6172.1-2016,S1,QA3,M33,个,,Kg,
SBN00407,六角薄螺母,05,CP05T3040,GB/T 6172.1-2016,S1,QA3,M36,个,,Kg,
SBN00408,六角薄螺母,05,CP05T3040,GB/T 6172.1-2016,S1,QA3,M42,个,,Kg,
SBN00409,六角薄螺母,05,CP05T3040,GB/T 6172.1-2016,S1,QA3,M52,个,,Kg,
SBN00410,六角薄螺母,05,CP05T3040,GB/T 6172.1-2016,S1,QA3,M60,个,,Kg,
SBN00411,六角薄螺母,05,CP05T3040,GB/T 6172.1-2016,S1,QA3,M64,个,,Kg,
SBN00412,1型六角螺母,A2-70,CP05T3040,GB/T 6170-2015,S1,QA3,M6,个,,Kg,
SBN00413,1型六角螺母,A2-70,CP05T3040,GB/T 6170-2015,S1,QA3,M8,个,,Kg,
SBN00414,1型六角螺母,A2-70,CP05T3040,GB/T 6170-2015,S1,QA3,M10,个,,Kg,
SBN00415,1型六角螺母,A2-70,CP05T3040,GB/T 6170-2015,S1,QA3,M12,个,,Kg,
SBN00416,1型六角螺母,A2-70,CP05T3040,GB/T 6170-2015,S1,QA3,M16,个,,Kg,
SBN60001,1型六角螺母,8级(镀锌钝化),,GB/T 6170-2015,NA,QNCa,M12,个,,Kg,
SBN60002,1型六角螺母,8级(镀锌钝化),,GB/T 6170-2015,NA,QNCa,M16,个,,Kg,
SBN60003,1型六角螺母,8级(镀锌钝化),,GB/T 6170-2015,NA,QNCa,M20,个,,Kg,
SBN60004,1型六角螺母,8级(镀锌钝化),,GB/T 6170-2015,NA,QNCa,M24,个,,Kg,
SBN60005,1型六角螺母,06Cr19Ni10,,GB/T 6170-2015,NA,QNCa,M20,个,,Kg,
SBR00100,圆棒,42CrMo,,GB/T 3077-2015,NA,QNC,Ф45,M,0.0125,Kg,1. 力学性能：Yield Stress Sy≥724.0MPa/Tensile Strength Su≥862.0MPa;                            2. 要求进进行100%超声检测，按照NB/T 20003.2-2010中第15章规定执行，验收等级为II级。
SBS00100,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 1,QA1,M14,M,1,Kg,
SBS00101,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 1,QA1,M16,M,1.3,Kg,
SBS00102,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 1,QA1,M20,M,2,Kg,
SBS00103,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 1,QA1,M24,M,2.95,Kg,
SBS00104,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 1,QA1,M27,M,3.8,Kg,
SBS00105,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 1,QA1,M30,M,5,Kg,
SBS00106,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 1,QA1,M33,M,6.1,Kg,
SBS00107,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 1,QA1,M36,M,7,Kg,
SBS00108,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 1,QA1,M39,M,8.36,Kg,
SBS00109,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 1,QA1,M42,M,9.69,Kg,
SBS00110,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 1,QA1,M45,M,11.3,Kg,
SBS00111,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 1,QA1,M48,M,12.85,Kg,
SBS00112,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 1,QA1,M52,M,15,Kg,
SBS00113,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 1,QA1,M56,M,17.39,Kg,
SBS00114,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 1,QA1,M64,M,22.71,Kg,
SBS00115,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 1,QA1,M70,M,27.16,Kg,
SBS00116,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 1,QA1,M76,M,32,Kg,
SBS00117,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 1,QA1,M90,M,44.87,Kg,
SBS00118,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M14,M,1,Kg,
SBS00119,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M16,M,1.3,Kg,
SBS00120,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M20,M,2,Kg,
SBS00121,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M24,M,2.95,Kg,
SBS00122,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M27,M,3.8,Kg,
SBS00123,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M30,M,5,Kg,
SBS00124,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M33,M,6.1,Kg,
SBS00125,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M36,M,7,Kg,
SBS00126,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M39,M,8.36,Kg,
SBS00127,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M42,M,9.69,Kg,
SBS00128,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M45,M,11.3,Kg,
SBS00129,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M48,M,12.85,Kg,
SBS00130,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M52,M,15,Kg,
SBS00131,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M56,M,17.39,Kg,
SBS00132,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M64,M,22.71,Kg,
SBS00133,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M70,M,27.16,Kg,
SBS00134,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M76,M,32,Kg,
SBS00135,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M90,M,44.87,Kg,
SBS00136,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M14,M,1,Kg,
SBS00137,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M16,M,1.3,Kg,
SBS00138,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M20,M,2,Kg,
SBS00139,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M24,M,2.95,Kg,
SBS00140,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M27,M,3.8,Kg,
SBS00141,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M30,M,5,Kg,
SBS00142,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M33,M,6.1,Kg,
SBS00143,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M36,M,7,Kg,
SBS00144,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M39,M,8.36,Kg,
SBS00145,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M42,M,9.69,Kg,
SBS00146,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M45,M,11.3,Kg,
SBS00147,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M48,M,12.85,Kg,
SBS00148,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M52,M,15,Kg,
SBS00149,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M56,M,17.39,Kg,
SBS00150,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M64,M,22.71,Kg,
SBS00151,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M70,M,27.16,Kg,
SBS00152,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M76,M,32,Kg,
SBS00153,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M90,M,44.87,Kg,
SBS00154,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3030,GB/T 196-2003,NA,QNCa,M14,M,1,Kg,
SBS00155,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3030,GB/T 196-2003,NA,QNCa,M16,M,1.3,Kg,
SBS00156,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3030,GB/T 196-2003,NA,QNCa,M20,M,2,Kg,
SBS00157,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3030,GB/T 196-2003,NA,QNCa,M24,M,2.95,Kg,
SBS00158,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3030,GB/T 196-2003,NA,QNCa,M27,M,3.8,Kg,
SBS00159,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3030,GB/T 196-2003,NA,QNCa,M30,M,5,Kg,
SBS00160,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3030,GB/T 196-2003,NA,QNCa,M33,M,6.1,Kg,
SBS00161,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3030,GB/T 196-2003,NA,QNCa,M36,M,7,Kg,
SBS00162,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3030,GB/T 196-2003,NA,QNCa,M39,M,8.36,Kg,
SBS00163,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3030,GB/T 196-2003,NA,QNCa,M42,M,9.69,Kg,
SBS00164,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3030,GB/T 196-2003,NA,QNCa,M45,M,11.3,Kg,
SBS00165,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3030,GB/T 196-2003,NA,QNCa,M48,M,12.85,Kg,
SBS00166,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3030,GB/T 196-2003,NA,QNCa,M52,M,15,Kg,
SBS00167,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3030,GB/T 196-2003,NA,QNCa,M56,M,17.39,Kg,
SBS00168,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3030,GB/T 196-2003,NA,QNCa,M64,M,22.71,Kg,
SBS00169,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3030,GB/T 196-2003,NA,QNCa,M70,M,27.16,Kg,
SBS00170,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3030,GB/T 196-2003,NA,QNCa,M76,M,32,Kg,
SBS00171,螺杆,06Cr15Ni25Ti2MoAlVB,CP05T3030,GB/T 196-2003,NA,QNCa,M90,M,44.87,Kg,
SBS00172,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M14,M,1,Kg,
SBS00173,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M16,M,1.3,Kg,
SBS00174,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M20,M,2,Kg,
SBS00175,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M24,M,2.95,Kg,
SBS00176,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M27,M,3.8,Kg,
SBS00177,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M30,M,5,Kg,
SBS00178,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M33,M,6.1,Kg,
SBS00179,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M36,M,7,Kg,
SBS00180,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M39,M,8.36,Kg,
SBS00181,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M42,M,9.69,Kg,
SBS00182,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M45,M,11.3,Kg,
SBS00183,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M48,M,12.85,Kg,
SBS00184,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M52,M,15,Kg,
SBS00185,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M56,M,17.39,Kg,
SBS00186,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M64,M,22.71,Kg,
SBS00187,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M70,M,27.16,Kg,
SBS00188,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M76,M,32,Kg,
SBS00189,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 2,QA1,M90,M,44.87,Kg,
SBS00190,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M14,M,1,Kg,
SBS00191,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M16,M,1.3,Kg,
SBS00192,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M20,M,2,Kg,
SBS00193,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M24,M,2.95,Kg,
SBS00194,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M27,M,3.8,Kg,
SBS00195,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M30,M,5,Kg,
SBS00196,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M33,M,6.1,Kg,
SBS00197,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M36,M,7,Kg,
SBS00198,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M39,M,8.36,Kg,
SBS00199,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M42,M,9.69,Kg,
SBS00200,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M45,M,11.3,Kg,
SBS00201,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M48,M,12.85,Kg,
SBS00202,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M52,M,15,Kg,
SBS00203,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M56,M,17.39,Kg,
SBS00204,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M64,M,22.71,Kg,
SBS00205,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M70,M,27.16,Kg,
SBS00206,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M76,M,32,Kg,
SBS00207,螺杆,42CrMo,CP05T3035,GB/T 196-2003,RCC-M 3,QA2,M90,M,44.87,Kg,
SBS00208,螺杆,42CrMo,CP05T3030,GB/T 196-2003,NA,QNCa,M14,M,1,Kg,
SBS00209,螺杆,42CrMo,CP05T3030,GB/T 196-2003,NA,QNCa,M16,M,1.3,Kg,
SBS00210,螺杆,42CrMo,CP05T3030,GB/T 196-2003,NA,QNCa,M20,M,2,Kg,
SBS00211,螺杆,42CrMo,CP05T3030,GB/T 196-2003,NA,QNCa,M24,M,2.95,Kg,
SBS00212,螺杆,42CrMo,CP05T3030,GB/T 196-2003,NA,QNCa,M27,M,3.8,Kg,
SBS00213,螺杆,42CrMo,CP05T3030,GB/T 196-2003,NA,QNCa,M30,M,5,Kg,
SBS00214,螺杆,42CrMo,CP05T3030,GB/T 196-2003,NA,QNCa,M33,M,6.1,Kg,
SBS00215,螺杆,42CrMo,CP05T3030,GB/T 196-2003,NA,QNCa,M36,M,7,Kg,
SBS00216,螺杆,42CrMo,CP05T3030,GB/T 196-2003,NA,QNCa,M39,M,8.36,Kg,
SBS00217,螺杆,42CrMo,CP05T3030,GB/T 196-2003,NA,QNCa,M42,M,9.69,Kg,
SBS00218,螺杆,42CrMo,CP05T3030,GB/T 196-2003,NA,QNCa,M45,M,11.3,Kg,
SBS00219,螺杆,42CrMo,CP05T3030,GB/T 196-2003,NA,QNCa,M48,M,12.85,Kg,
SBS00220,螺杆,42CrMo,CP05T3030,GB/T 196-2003,NA,QNCa,M52,M,15,Kg,
SBS00221,螺杆,42CrMo,CP05T3030,GB/T 196-2003,NA,QNCa,M56,M,17.39,Kg,
SBS00222,螺杆,42CrMo,CP05T3030,GB/T 196-2003,NA,QNCa,M64,M,22.71,Kg,
SBS00223,螺杆,42CrMo,CP05T3030,GB/T 196-2003,NA,QNCa,M70,M,27.16,Kg,
SBS00224,螺杆,42CrMo,CP05T3030,GB/T 196-2003,NA,QNCa,M76,M,32,Kg,
SBS00225,螺杆,42CrMo,CP05T3030,GB/T 196-2003,NA,QNCa,M90,M,44.87,Kg,
SBS00226,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM6x25,个,,Kg,
SBS00227,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM8x25,个,,Kg,
SBS00228,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM8x30,个,,Kg,
SBS00229,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM8x40,个,,Kg,
SBS00230,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM8x45,个,,Kg,
SBS00231,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM10x35,个,,Kg,
SBS00232,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM10x40,个,,Kg,
SBS00233,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM10x60,个,,Kg,
SBS00234,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM10x80,个,,Kg,
SBS00235,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM12x30,个,,Kg,
SBS00236,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM12x40,个,,Kg,
SBS00237,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM12x50,个,,Kg,
SBS00238,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM12x60,个,,Kg,
SBS00239,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM12x70,个,,Kg,
SBS00241,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM12x80,个,,Kg,
SBS00242,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM12x85,个,,Kg,
SBS00243,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM12x100,个,,Kg,
SBS00244,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM14x40,个,,Kg,
SBS00245,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM14x50,个,,Kg,
SBS00246,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM14x60,个,,Kg,
SBS00247,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM14x70,个,,Kg,
SBS00248,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM16x40,个,,Kg,
SBS00249,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM16x60,个,,Kg,
SBS00250,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM16x80,个,,Kg,
SBS00251,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM16x85,个,,Kg,
SBS00252,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM16x100,个,,Kg,
SBS00253,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM16x110,个,,Kg,
SBS00254,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM18x70,个,,Kg,
SBS00255,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM18x80,个,,Kg,
SBS00256,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM18x85,个,,Kg,
SBS00257,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM18x115,个,,Kg,
SBS00258,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM18x150,个,,Kg,
SBS00259,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM20x60,个,,Kg,
SBS00260,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM20x80,个,,Kg,
SBS00261,六角头螺栓,8.8级,CP05T3040,GB/T 5782-2016,S1,QA3,HM20x90,个,,Kg,
